"","Status","FWS.Total","Other.Fed","Fed.Total","States.Total","Species.Total","Year"
"505","T",28075,13810,41885,0,41885,2004
"506","E",43607,0,43607,0,43607,2004
"507","E",13262,5994,19256,0,19256,2004
"508","E",9119,0,9119,0,9119,2004
"509","E",209332,38823,248155,0,248155,2004
"510","E",364760,289009,653769,432100,1085869,2004
"511","E",180,0,180,0,NA,2004
"512","E",7646,0,7646,0,7646,2004
"513","E",8747,338475,347222,0,347222,2004
"514","E",28100,2020,30120,53500,83620,2004
"515","E",1363,15000,16363,0,16363,2004
"516","T",137530,25002,162532,12150,174682,2004
"517","E",2090,133136,135226,0,135226,2004
"518","E",232444,19000,251444,0,251444,2004
"519","E",4300,4e+05,404300,1400,405700,2004
"520","E",6172,0,6172,0,6172,2004
"521","E",8700,0,8700,0,8700,2004
"522","E",48227,10000,58227,0,58227,2004
"523","E",1708,6800,8508,0,8508,2004
"524","E",141000,122870,263870,48300,312170,2004
"525","E",1673466,0,1673466,0,1673466,2004
"526","E",11040,0,11040,0,11040,2004
"527","E",10000,50160,60160,1000,61160,2004
"528","E",10000,50160,60160,1000,61160,2004
"529","E",15561,4000,19561,0,19561,2004
"530","T",54544,15000,69544,0,69544,2004
"531","T",3100,0,3100,0,3100,2004
"532","E",77416,50000,127416,2000,129416,2004
"533","E",97281,0,97281,0,97281,2004
"534","T",850,1500,2350,0,2350,2004
"535","T",6000,10700,16700,3700,20400,2004
"536","E",18030,0,18030,0,18030,2004
"537","T",0,570,570,8050,8620,2004
"538","E",6000,640,6640,500,7140,2004
"539","E",1360000,1280,1361280,500,1361780,2004
"540","E",10000,0,10000,0,10000,2004
"541","E",10000,160,10160,0,10160,2004
"542","E",10000,160,10160,0,10160,2004
"543","E",10000,50160,60160,0,60160,2004
"544","E",10000,160,10160,0,10160,2004
"545","E",8000,160,8160,500,8660,2004
"546","E",10000,160,10160,0,10160,2004
"547","E",32101,0,32101,0,32101,2004
"548","E",1500,12000,13500,0,13500,2004
"549","E",10000,320,10320,1000,11320,2004
"550","E",0,113,113,0,NA,2004
"551","E",10000,1700,11700,550,12250,2004
"552","E",32101,0,32101,0,32101,2004
"553","E",0,320,320,0,NA,2004
"554","E",18000,0,18000,500,18500,2004
"555","E",18500,0,18500,400,18900,2004
"556","E",29000,0,29000,0,29000,2004
"557","E",5575,1200,6775,1000,7775,2004
"558","E",17143,66578,83721,0,83721,2004
"559","E",22090,3000,25090,0,25090,2004
"560","E",137939,404525,542464,0,542464,2004
"561","E",164623,146861,311484,0,311484,2004
"562","T",199627,780215,979842,39000,1018842,2004
"563","E",2000,0,2000,500,2500,2004
"564","T",2000,0,2000,500,2500,2004
"565","E",0,0,0,1200,1200,2004
"566","E",600,32700,33300,0,33300,2004
"567","E",24077,5500,29577,0,29577,2004
"568","E",6200,10000,16200,0,16200,2004
"569","E",171372,478600,649972,16000,665972,2004
"570","E",20000,300,20300,0,20300,2004
"571","E",5341,9759,15100,500,15600,2004
"572","E",141,0,141,100,NA,2004
"573","E",161,0,161,100,NA,2004
"574","E",5361,9759,15120,100,15220,2004
"575","E",3843,33400,37243,1400,38643,2004
"576","E",141,0,141,500,NA,2004
"577","E",133,0,133,100,NA,2004
"578","E",133,5266,5399,100,5499,2004
"579","E",4986,0,4986,1100,6086,2004
"580","E",161,0,161,100,NA,2004
"581","E",133,0,133,100,NA,2004
"582","E",137,0,137,500,NA,2004
"583","E",171,2000,2171,300,2471,2004
"584","E",0,7546,7546,0,7546,2004
"585","T",57100,220784,277884,5500,283384,2004
"586","E",2626,85376,88002,0,88002,2004
"587","E",14000,33316,47316,1500,48816,2004
"588","T",5520,224000,229520,0,229520,2004
"589","T",600,2977,3577,8000,11577,2004
"590","E",1500,36,1536,4500,6036,2004
"591","T",55500,28400,83900,2400,86300,2004
"592","E",5800,6000,11800,0,11800,2004
"593","E",3731,0,3731,300,4031,2004
"594","E",5085,0,5085,1500,6585,2004
"595","T",5497,25000,30497,1100,31597,2004
"596","E",6800,17400,24200,0,24200,2004
"597","E",137,2501,2638,500,3138,2004
"598","E",163,0,163,300,NA,2004
"599","E",0,500,500,700,1200,2004
"600","E",171,0,171,300,NA,2004
"601","E",8931,22649,31580,1000,32580,2004
"602","T",0,5376,5376,0,5376,2004
"603","E",4500,0,4500,0,4500,2004
"604","T",0,19200,19200,0,19200,2004
"605","E",17000,26000,43000,200,43200,2004
"606","E",751,1000,1751,0,1751,2004
"607","E",2200,0,2200,4000,6200,2004
